 
[*] Checkpoint   = epoch.ckpt
[*] Input video  = trial.mp4
[*] Output video = trial_output.mp4
[✓] Docker image 'segformer' already exists. Skipping build.
[Frame 188] FPS: 5.92
[Frame 189] FPS: 5.96
[Frame 190] FPS: 6.76
[Frame 191] FPS: 7.39
[Frame 192] FPS: 5.88
[Frame 193] FPS: 5.96
[Frame 194] FPS: 6.09
[Frame 195] FPS: 5.92
[Frame 196] FPS: 6.47
[Frame 197] FPS: 6.28
[Frame 198] FPS: 6.49
[Frame 199] FPS: 6.22
[Frame 200] FPS: 6.24
[Frame 201] FPS: 6.97
[Frame 202] FPS: 6.31
[Frame 203] FPS: 6.17
[Frame 204] FPS: 6.31
[Frame 205] FPS: 5.48
[Frame 206] FPS: 5.23
[Frame 207] FPS: 5.88
[Frame 208] FPS: 5.53
[Frame 209] FPS: 5.45
[Frame 210] FPS: 5.96
[Frame 211] FPS: 5.64
[Frame 212] FPS: 5.74
[Frame 213] FPS: 5.78
[Frame 214] FPS: 6.13
[Frame 215] FPS: 6.07
[Frame 216] FPS: 6.20
[Frame 217] FPS: 5.85
[Frame 218] FPS: 6.00
[Frame 219] FPS: 5.93
[Frame 220] FPS: 6.37
[Frame 221] FPS: 6.04
[Frame 222] FPS: 6.13
[Frame 223] FPS: 6.73
[Frame 224] FPS: 6.16
[Frame 225] FPS: 5.31
[Frame 226] FPS: 5.46
[Frame 227] FPS: 5.97
[Frame 228] FPS: 6.02
[Frame 229] FPS: 5.61
[Frame 230] FPS: 5.76
[Frame 231] FPS: 5.80
[Frame 232] FPS: 5.58
[Frame 233] FPS: 5.92
[Frame 234] FPS: 5.81
[Frame 235] FPS: 6.09
[Frame 236] FPS: 6.95
[Frame 237] FPS: 6.20
[Frame 238] FPS: 5.89
[Frame 239] FPS: 5.90
[Frame 240] FPS: 6.39
[Frame 241] FPS: 5.52
[Frame 242] FPS: 6.01
[Frame 243] FPS: 5.49
[Frame 244] FPS: 5.42
[Frame 245] FPS: 6.43
[Frame 246] FPS: 5.95
[Frame 247] FPS: 5.68
[Frame 248] FPS: 5.30
[Frame 249] FPS: 5.28
[Frame 250] FPS: 5.73
[Frame 251] FPS: 5.88
[Frame 252] FPS: 5.48
[Frame 253] FPS: 5.82
[Frame 254] FPS: 5.68
[Frame 255] FPS: 5.68
[Frame 256] FPS: 6.22
[Frame 257] FPS: 5.59
